studentid,gender,agegroup,continent,background
1041023,M,18,Asia,A
1041024,M,35,South America,D
1041025,M,25,Asia,D
1041026,F,18,Africa,B
1041027,M,18,Africa,D
1041028,M,35,Europe,C
1041029,M,18,North America,B
1041030,M,25,North America,B
1041031,M,55,North America,D
1041032,M,25,North America,C
1041033,M,25,Asia,D
1041034,M,45,North America,A
1041035,M,0,North America,B
1041036,F,25,Unknown,C
1041037,M,18,North America,D
1041038,F,18,Asia,B
1041039,M,35,North America,A
1041040,F,18,North America,C
1041041,M,45,Asia,A
1041042,M,18,Asia,C
1041043,M,25,North America,D
1041044,M,18,Europe,A
1041045,M,18,Unknown,A
1041046,F,25,North America,D
1041047,M,18,Europe,C
1041048,M,18,Europe,B
1041049,M,35,Europe,B
1041050,M,45,North America,B
1041051,M,18,Asia,D
1041052,M,25,Unknown,C
1041053,M,65,Europe,B
1041054,M,18,Asia,D
1041055,M,25,Asia,C
1041056,M,25,North America,C
1041057,F,18,Unknown,B
1041058,M,25,Asia,A
1041059,M,25,Europe,C
1041060,M,18,Europe,D
1041061,F,18,Unknown,B
1041062,M,25,North America,D
1041063,M,25,North America,D
1041064,F,55,Asia,C
1041065,M,25,Africa,C
1041066,M,25,North America,C
1041067,M,25,North America,C
1041068,F,25,Asia,D
1041069,M,25,North America,B
1041070,M,25,North America,A
1041071,M,45,North America,D
1041072,M,25,North America,B
1041073,M,25,Asia,C
1041074,M,18,North America,A
1041075,M,25,Europe,C
1041076,M,25,North America,A
1041077,M,35,Asia,C
1041078,M,25,Europe,C
1041079,M,25,North America,C
1041080,M,35,South America,C
1041081,M,45,North America,A
1041082,M,18,North America,C
1041083,M,55,Asia,D
1041084,M,25,North America,B
1041085,M,25,Asia,A
1041086,F,35,North America,B
1041087,F,25,North America,C
1041088,F,25,Asia,C
1041089,M,18,Asia,C
1041090,M,35,South America,C
1041091,M,25,Europe,C
1041092,M,25,Europe,A
1041093,F,18,North America,D
1041094,M,25,Africa,B
1041095,F,18,North America,D
1041096,M,25,North America,A
1041097,M,25,North America,B
1041098,M,18,Unknown,B
1041099,F,25,Unknown,C
1041100,M,0,Unknown,B
1041101,M,25,Unknown,B
1041102,M,35,North America,C
1041103,F,25,North America,A
1041104,M,25,Unknown,C
1041105,M,18,Africa,B
1041106,M,25,Africa,C
1041107,F,25,Unknown,A
1041108,F,18,Europe,C
1041109,M,25,Asia,D
1041110,M,18,North America,D
1041111,M,18,South America,A
1041112,M,18,North America,D
1041113,M,18,Asia,B
1041114,M,25,Asia,D
1041115,M,18,Europe,B
1041116,M,25,North America,A
1041117,M,25,Asia,C
1041118,M,0,Asia,D
1041119,M,25,North America,B
1041120,M,18,Unknown,C
1041121,M,25,Unknown,A
1041122,M,25,North America,B
1041123,M,65,Europe,A
1041124,M,18,Asia,B
1041125,M,18,Europe,D
1041126,M,18,Unknown,D
1041127,M,18,Unknown,A
1041128,M,25,South America,A
1041129,F,18,Europe,C
1041130,F,25,Europe,A
1041131,F,35,North America,C
1041132,F,35,North America,C
1041133,F,25,Unknown,B
1041134,M,25,Africa,D
1041135,M,18,Europe,D
1041136,M,18,North America,D
1041137,M,35,Europe,D
1041138,F,18,North America,B
1041139,M,25,Unknown,D
1041140,M,25,Africa,D
1041141,M,35,Asia,C
1041142,F,18,Unknown,B
1041143,M,25,Europe,D
1041144,F,18,Asia,C
1041145,M,25,Asia,C
1041146,F,25,Asia,B
1041147,M,18,Asia,B
1041148,F,55,Europe,B
1041149,F,25,Europe,A
1041150,M,18,Europe,C
1041151,M,18,North America,C
1041152,M,45,Asia,A
1041153,M,25,Unknown,C
1041154,M,25,Europe,C
1041155,M,25,Asia,C
1041156,M,18,Europe,D
1041157,M,18,North America,A
1041158,M,35,North America,B
1041159,F,25,Unknown,C
1041160,M,25,Africa,C
1041161,M,35,North America,C
1041162,M,25,South America,A
1041163,M,25,North America,D
1041164,M,65,Africa,C
1041165,M,25,South America,D
1041166,M,35,North America,A
1041167,M,18,Unknown,C
1041168,M,55,North America,A
1041169,M,18,Unknown,C
1041170,F,18,Unknown,B
1041171,F,25,Europe,A
1041172,M,35,Asia,C
1041173,F,25,Asia,C
1041174,M,35,Europe,C
1041175,F,18,North America,B
1041176,F,45,North America,A
1041177,M,18,Europe,A
